Chip,frequency(Mhz),Voltage,Power(Watts),TransistorSize (nm),Transistors,Chip Area,Source,
pentium3_79,700,2.8,28.9,180,140,375,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_80,733,2.8,22.8,180,28,102.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_81,800,2.8,28.5,180,28,102.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_82,866,2.8,26.8,180,28,102.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_83,900,2.8,39.3,180,140,375,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_84,933,2.8,28.9,180,28,102.5,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
pentium3_85,1000,2.8,30.2,180,28,100,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_5,900,1.1875,90,180,221,421,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_6,1000,1.1875,100,180,221,421,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_7,1000,1.1875,62,180,221,421,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_8,1300,1.1875,97,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_9,1300,1.1875,62,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_10,1400,1.1875,91,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_11,1400,1.325,99,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_12,1400,1.325,99,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_13,1500,1.1875,107,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_14,1600,1.1875,122,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_15,1600,1.1875,130,130,592,432,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_16,1600,1.325,99,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
Itanium_17,1600,1.325,99,130,410,374,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_1,500,1.6,42,250,22,184,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_10,700,1.6,50,250,22,184,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_100,2400,1.375,89,90,76,84,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_101,2400,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_102,2400,1.35,89,90,114,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_103,2600,1.375,89,90,114,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_104,2400,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_105,2600,1.5,104,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_106,2600,1.375,104,90,114,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_107,2800,1.375,104,90,114,115,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_108,2200,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_109,2400,1.5,89,130,105.9,193,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_11,700,1.6,39,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_110,1800,1.3,62,90,129,126,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_111,2000,1.3,62,90,129,126,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_112,2200,1.3,48.5,90,129,126,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_113,2400,1.2,62,90,129,126,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_12,750,1.7,40.4,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_13,750,1.6,40,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_14,800,1.7,42.6,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_15,800,1.7,48,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_16,850,1.7,44.8,180,37,120,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
AMDAthalon_17,850,1.7,50,180,22,102,data from the BalusC server 2007:  http://balusc.xs4all.nl/srv/har-cpu.html/ ,
